106	5	3.2	1.2	0.2	C	
107	5.5	3.5	1.3	0.2	C	
108	4.9	3.6	1.4	0.1	C	
109	4.4	3	1.3	0.2	C	
110	5.1	3.4	1.5	0.2	C	
111	5	3.5	1.3	0.3	C	
112	4.5	2.3	1.3	0.3	C	
113	4.4	3.2	1.3	0.2	C	
114	5	3.5	1.6	0.6	C	
115	5.1	3.8	1.9	0.4	C	
116	4.8	3	1.4	0.3	C	
117	5.1	3.8	1.6	0.2	C	
118	4.6	3.2	1.4	0.2	C	
119	5.3	3.7	1.5	0.2	C	
120	5	3.3	1.4	0.2	C	
121	6	3.4	4.5	1.6	B	
122	6.7	3.1	4.7	1.5	B	
123	6.3	2.3	4.4	1.3	B	
124	5.6	3	4.1	1.3	B	
125	5.5	2.5	4	1.3	B	
126	5.5	2.6	4.4	1.2	B	
127	6.1	3	4.6	1.4	B	
128	5.8	2.6	4	1.2	B	
129	5	2.3	3.3	1	B	
130	5.6	2.7	4.2	1.3	B	
131	5.7	3	4.2	1.2	B	
132	5.7	2.9	4.2	1.3	B	
133	6.2	2.9	4.3	1.3	B	
134	5.1	2.5	3	1.1	B	
135	5.7	2.8	4.1	1.3	B	
136	7.7	3	6.1	2.3	A	
137	6.3	3.4	5.6	2.4	A	
138	6.4	3.1	5.5	1.8	A	
139	6	3	4.8	1.8	A	
140	6.9	3.1	5.4	2.1	A	
141	6.7	3.1	5.6	2.4	A	
142	6.9	3.1	5.1	2.3	A	
143	5.8	2.7	5.1	1.9	A	
144	6.8	3.2	5.9	2.3	A	
145	6.7	3.3	5.7	2.5	A	
146	6.7	3	5.2	2.3	A	
147	6.3	2.5	5	1.9	A	
148	6.5	3	5.2	2	A	
149	6.2	3.4	5.4	2.3	A	
